# Source: http://physics.nist.gov/cgi-bin/Compositions/stand_alone.pl
ProtonNumber	Symbol	MassNumber	Mass	Abundance	StandardAtomicWeight
1	H	1	1.007825032	0.9998857	1.007947
	D	2	2.014101778	0.0001157	
	T	3	3.016049278		
2	He	3	3.016029319	0.000001343	4.0026022
		4	4.002603254	0.999998663	
3	Li	6	6.015122795	0.07594	6.9412
		7	7.016004558	0.92414	
4	Be	9	9.01218224	1	9.0121823
5	B	10	10.01293704	0.1997	10.8117
		11	11.00930544	0.8017	
6	C	12	12	0.98938	12.01078
		13	13.00335484	0.01078	
		14	14.00324199		
7	N	14	14.003074	0.996362	14.00672
		15	15.0001089	0.003642	
8	O	16	15.99491462	0.9975716	15.99943
		17	16.9991317	0.000381	
		18	17.99916107	0.0020514	
9	F	19	18.99840323	1	18.99840325
10	Ne	20	19.99244018	0.90483	20.17976
		21	20.99384668	0.00271	
		22	21.99138511	0.09253	
11	Na	23	22.98976928	1	22.98976928
12	Mg	24	23.9850417	0.78994	24.30506
		25	24.98583692	0.10001	
		26	25.98259293	0.11013	
13	Al	27	26.98153863	1	26.98153868
14	Si	28	27.97692653	0.9222319	28.08553
		29	28.9764947	0.046858	
		30	29.97377017	0.0309211	
15	P	31	30.97376163	1	30.9737622
16	S	32	31.972071	0.949926	32.0655
		33	32.97145876	0.00752	
		34	33.9678669	0.042524	
17	Cl	35	34.96885268	0.75761	35.4532
		36	35.96708076	0.00011	
18	Ar	36	35.96754511	0.0033653	39.9481
		37	36.9659026	0.24241	
		38	37.96273244	0.0006325	
19	K	39	38.96370668	0.93258144	39.09831
		40	39.96238312	0.9960033	
		40	39.96399848	0.0001171	
20	Ca	40	39.96259098	0.96941156	40.0784
		41	40.96182576	0.06730244	
		42	41.95861801	0.0064723	
		43	42.95876663	0.001351	
		44	43.95548184	0.0208611	
21	Sc	45	44.95591199	1	44.9559126
		46	45.95369262	0.000043	
22	Ti	46	45.95263169	0.08253	47.8671
		47	46.95176319	0.07442	
		48	47.9525344	0.0018721	
		48	47.94794639	0.73723	
		49	48.94787009	0.05412	
		50	49.94479129	0.05182	
23	V	50	49.94715851	0.002504	50.94151
24	Cr	50	49.94604421	0.0434513	51.99616
		51	50.94395951	0.997504	
		52	51.94050758	0.8378918	
		53	52.94064948	0.0950117	
		54	53.93888048	0.023657	
26	Fe	54	53.93961057	0.0584535	55.8452
25	Mn	55	54.93804517	1	54.9380455
		56	55.93493757	0.9175436	
		57	56.93539407	0.021191	
		58	57.93327568	0.002824	
28	Ni	58	57.93534297	0.68076989	58.69344
27	Co	59	58.93319507	1	58.9331955
		60	59.93078647	0.26223177	
		61	60.93105607	0.0113996	
		62	61.92834516	0.03634517	
29	Cu	63	62.92959756	0.691515	63.5463
		64	63.92796607	0.0092569	
30	Zn	64	63.92914227	0.48268321	65.382
		65	64.92778957	0.308515	
		66	65.92603341	0.2797577	
		67	66.92712731	0.0410221	
		68	67.92484421	0.19024123	
31	Ga	69	68.92557361	0.601089	69.7231
		70	69.92531932	0.006319	
32	Ge	70	69.92424741	0.203818	72.641
		71	70.92470131	0.398929	
		72	71.92207582	0.273126	
		73	72.92345892	0.07768	
		74	73.92117782	0.367215	
34	Se	74	73.92247642	0.00894	78.963
33	As	75	74.92159652	1	74.921602
		76	75.92140262	0.07837	
		76	75.91921362	0.093729	
		77	76.91991402	0.076316	
		78	77.91730912	0.237728	
36	Kr	78	77.92036481	0.003553	83.7982
35	Br	79	78.91833712	0.50697	79.9041
		80	79.91652132	0.496141	
		80	79.91637902	0.022861	
		81	80.91629062	0.49317	
		82	81.91669942	0.087322	
		82	81.91348362	0.1159331	
		83	82.9141363	0.1150019	
		84	83.9115073	0.5698715	
38	Sr	84	83.9134253	0.00561	87.621
37	Rb	85	84.91178974	0.72172	85.46783
		86	85.91061073	0.1727941	
		86	85.90926021	0.09861	
		87	86.90918053	0.27832	
		87	86.90887711	0.07001	
		88	87.90561211	0.82581	
39	Y	89	88.90584833	1	88.905852
40	Zr	90	89.90470443	0.51454	91.2242
		91	90.90564583	0.11225	
		92	91.90504083	0.17158	
42	Mo	92	91.9068114	0.147731	95.962
41	Nb	93	92.90637813	1	92.906382
		94	93.90631523	0.173828	
		94	93.90508832	0.09231	
		95	94.90584212	0.15909	
		96	95.90827343	0.02809	
		96	95.90467952	0.16681	
44	Ru	96	95.9075988	0.055414	101.072
		97	96.90602152	0.09565	
43	Tc	97	96.9063655		98
		98	97.90540822	0.241926	
		98	97.9072164		
		98	97.9052877	0.01873	
		99	98.90625472		
		99	98.90593932	0.127614	
		100	99.9074776	0.09672	
		100	99.90421952	0.12607	
		101	100.9055821	0.17062	
		102	101.9043493	0.315514	
46	Pd	102	101.9056093	0.01021	106.421
45	Rh	103	102.9055043	1	102.905502
		104	103.9054333	0.186227	
		104	103.9040364	0.11148	
		105	104.9050854	0.22338	
		106	105.9034864	0.27333	
48	Cd	106	105.9064596	0.01256	112.4118
47	Ag	107	106.9050975	0.518398	107.86822
		108	107.9038924	0.26469	
		108	107.9041846	0.00893	
		109	108.9047523	0.481618	
		110	109.9051531	0.11729	
		110	109.9030021	0.124918	
		111	110.9041781	0.128012	
		112	111.9027578	0.241321	
